breedgroup,breedname,licensecount,avgweight
Hound,Portuguese Podengo Pequeno,9,11
Working,Portuguese Water Dog,102,47.5
Toy,Pug,966,16
Mixed,Pug Crossbreed,42,NULL
Mixed,Puggle,489,NULL
Herding,Puli,16,30
Herding,Pumi,2,25.5
Herding,Pyrenean Shepherd,2,22.5
Terrier,Rat Terrier,205,17.5
Mixed,Rat Terrier Crossbreed,8,NULL
Hound,Redbone Coonhound,23,57.5
Hound,Rhodesian Ridgeback,145,77.5
Working,Rottweiler,392,107.5
Mixed,Rottweiler Crossbreed,42,NULL
Herding,Rough Coat Collie,28,NULL
Terrier,Russell Terrier,14,12
Miscellaneous,Russian Toy,1,6.5
Hound,Saluki,5,52.5
Working,Samoyed,59,50
Non-Sporting,Schipperke,32,13
Mixed,Schnauzer Crossbreed,78,NULL
Hound,Scottish Deerhound,3,92.5
Terrier,Scottish Terrier,101,20
Terrier,Sealyham Terrier,3,23.5
Herding,Shetland Sheepdog,192,20
Non-Sporting,Shiba Inu,884,20
Mixed,Shiba Inu Crossbreed,8,NULL
Toy,Shih Tzu,4500,12.5
Mixed,Shih Tzu Crossbreed,887,NULL
Working,Siberian Husky,750,47.5
Mixed,Siberian Husky Crossbreed,59,NULL
Toy,Silky Terrier,205,10
Terrier,Skye Terrier,6,40
Herding,Smooth Coat Collie,24,NULL
Terrier,Smooth Fox Terrier,12,16.5
Terrier,Soft Coated Wheaten Terrier,36,35
Herding,Spanish Water Dog,2,40
Sporting,Spinone Italiano,11,NULL
Working,St. Bernard,24,150
Terrier,Staffordshire Bull Terrier,174,31
Working,Standard Schnauzer,118,40
Sporting,Sussex Spaniel,3,40
Herding,Swedish Vallhund,1,27.5
Mixed,Terrier Crossbreed,748,NULL
Foundation Stock Service,Thai Ridgeback,3,55
Working,Tibetan Mastiff,6,110
Non-Sporting,Tibetan Spaniel,42,12
Non-Sporting,Tibetan Terrier,150,24
Toy,Toy Fox Terrier,25,5.25
Toy,Toy Poodle,817,5
Foundation Stock Service,Treeing Tennessee Brindle,2,40
Hound,Treeing Walker Coonhound,53,60
Sporting,Vizsla,144,52
Sporting,Weimaraner,84,72.5
Sporting,Welsh Springer Spaniel,11,45
Terrier,Welsh Terrier,18,20
Terrier,West Highland White Terrier,455,17.5
Terrier,Wheaton Terrier,273,35
Hound,Whippet,88,32.5
Terrier,Wire Fox Terrier,100,16.5
Hound,Wirehaired Dachshund,39,NULL
Hound,Wirehaired Miniature Dachshund,46,NULL
Sporting,Wirehaired Pointing Griffon,7,52.5
Non-Sporting,Xoloitzcuintli,5,42.5
Toy,Yorkshire Terrier,4929,7
Mixed,Yorkshire Terrier Crossbreed,553,NULL
